scholarship_id,app_id,scholarship_type,amount_yuan,sponsor,coverage
488,2144,CSC Partial,20477,China Scholarship Council,Tuition only
489,2147,Confucius Institute,8617,Confucius Institute HQ,Living stipend
490,2148,University Merit,7610,Host University,Tuition only
491,2154,Confucius Institute,16654,Confucius Institute HQ,Living stipend
492,2167,CSC Partial,17570,China Scholarship Council,Tuition only
493,2170,University Merit,11163,Host University,Tuition only
494,2180,University Merit,14923,Host University,Tuition only
495,2182,Confucius Institute,15711,Confucius Institute HQ,Living stipend
496,2183,CSC Full,55159,China Scholarship Council,Full tuition + stipend
497,2185,CSC Partial,28382,China Scholarship Council,Tuition only
498,2187,CSC Full,64579,China Scholarship Council,Full tuition + stipend
499,2188,University Merit,16738,Host University,Tuition only
500,2194,Confucius Institute,10298,Confucius Institute HQ,Living stipend
501,2201,Confucius Institute,14139,Confucius Institute HQ,Living stipend
502,2202,Provincial,18305,Province Government,Tuition only
503,2206,University Merit,20675,Host University,Tuition only
504,2210,CSC Full,56935,China Scholarship Council,Full tuition + stipend
505,2211,University Merit,15327,Host University,Tuition only
506,2214,CSC Partial,15275,China Scholarship Council,Tuition only
507,2218,ANKO Bridge,4814,ANKO Bridge Agency,Living stipend
508,2219,Provincial,14795,Province Government,Tuition only
509,2221,Confucius Institute,17882,Confucius Institute HQ,Living stipend
510,2222,CSC Full,56546,China Scholarship Council,Full tuition + stipend
511,2223,University Merit,5165,Host University,Tuition only
512,2226,Provincial,14806,Province Government,Tuition only
513,2227,Confucius Institute,12283,Confucius Institute HQ,Living stipend
514,2236,Provincial,19653,Province Government,Tuition only
515,2244,CSC Full,56860,China Scholarship Council,Full tuition + stipend
516,2245,ANKO Bridge,8066,ANKO Bridge Agency,Living stipend
